geography,Ethnic Group,Religion,area code,area name,Counts
SL - Slough,All categories: Ethnic group, All categories: Religion,SL , Slough,373607
SM - Sutton,All categories: Ethnic group, All categories: Religion,SM , Sutton,217048
SN - Swindon,All categories: Ethnic group, All categories: Religion,SN , Swindon,459049
SO - Southampton,All categories: Ethnic group, All categories: Religion,SO , Southampton,665193
SP - Salisbury,All categories: Ethnic group, All categories: Religion,SP , Salisbury,232524
SR - Sunderland,All categories: Ethnic group, All categories: Religion,SR , Sunderland,250826
SS - Southend-on-Sea,All categories: Ethnic group, All categories: Religion,SS , Southend-on-Sea,518677
ST - Stoke-on-Trent,All categories: Ethnic group, All categories: Religion,ST , Stoke-on-Trent,644068
SW - London SW,All categories: Ethnic group, All categories: Religion,SW , London SW,874844
SY - Shrewsbury,All categories: Ethnic group, All categories: Religion,SY , Shrewsbury,342140
TA - Taunton,All categories: Ethnic group, All categories: Religion,TA , Taunton,322197
TD - Galashiels,All categories: Ethnic group, All categories: Religion,TD , Galashiels,18324
TF - Telford,All categories: Ethnic group, All categories: Religion,TF , Telford,212061
TN - Tonbridge,All categories: Ethnic group, All categories: Religion,TN , Tonbridge,680816
TQ - Torquay,All categories: Ethnic group, All categories: Religion,TQ , Torquay,281404
TR - Truro,All categories: Ethnic group, All categories: Religion,TR , Truro,293864
TS - Cleveland,All categories: Ethnic group, All categories: Religion,TS , Cleveland,602474
TW - Twickenham,All categories: Ethnic group, All categories: Religion,TW , Twickenham,490472
UB - Southall,All categories: Ethnic group, All categories: Religion,UB , Southall,371969
W - London W,All categories: Ethnic group, All categories: Religion,W , London W,533706
WA - Warrington,All categories: Ethnic group, All categories: Religion,WA , Warrington,616180
WC - London WC,All categories: Ethnic group, All categories: Religion,WC , London WC,35995
WD - Watford,All categories: Ethnic group, All categories: Religion,WD , Watford,255988
WF - Wakefield,All categories: Ethnic group, All categories: Religion,WF , Wakefield,512657
WN - Wigan,All categories: Ethnic group, All categories: Religion,WN , Wigan,308483
WR - Worcester,All categories: Ethnic group, All categories: Religion,WR , Worcester,287414
WS - Walsall,All categories: Ethnic group, All categories: Religion,WS , Walsall,449687
WV - Wolverhampton,All categories: Ethnic group, All categories: Religion,WV , Wolverhampton,395857
YO - York,All categories: Ethnic group, All categories: Religion,YO , York,562439
CF - Cardiff,All categories: Ethnic group, All categories: Religion,CF , Cardiff,1005334
LD - Llandrindod Wells,All categories: Ethnic group, All categories: Religion,LD , Llandrindod Wells,49792
LL - Llandudno,All categories: Ethnic group, All categories: Religion,LL , Llandudno,537467
NP - Newport,All categories: Ethnic group, All categories: Religion,NP , Newport,488368
SA - Swansea,All categories: Ethnic group, All categories: Religion,SA , Swansea,730232
AL - St Albans,All categories: Ethnic group, Christian,AL , St Albans,146941
B - Birmingham,All categories: Ethnic group, Christian,B , Birmingham,1015781
BA - Bath,All categories: Ethnic group, Christian,BA , Bath,260769
BB - Blackburn,All categories: Ethnic group, Christian,BB , Blackburn,294116
BD - Bradford,All categories: Ethnic group, Christian,BD , Bradford,276991
BH - Bournemouth,All categories: Ethnic group, Christian,BH , Bournemouth,340723
BL - Bolton,All categories: Ethnic group, Christian,BL , Bolton,242694
BN - Brighton,All categories: Ethnic group, Christian,BN , Brighton,434447
BR - Bromley,All categories: Ethnic group, Christian,BR , Bromley,183860
BS - Bristol,All categories: Ethnic group, Christian,BS , Bristol,510409
CA - Carlisle,All categories: Ethnic group, Christian,CA , Carlisle,233129
CB - Cambridge,All categories: Ethnic group, Christian,CB , Cambridge,234787
CH - Chester,All categories: Ethnic group, Christian,CH , Chester,455929
CM - Chelmsford,All categories: Ethnic group, Christian,CM , Chelmsford,409414
CO - Colchester,All categories: Ethnic group, Christian,CO , Colchester,251756
CR - Croydon,All categories: Ethnic group, Christian,CR , Croydon,232014
CT - Canterbury,All categories: Ethnic group, Christian,CT , Canterbury,297544
CV - Coventry,All categories: Ethnic group, Christian,CV , Coventry,491753
CW - Crewe,All categories: Ethnic group, Christian,CW , Crewe,217461
DA - Dartford,All categories: Ethnic group, Christian,DA , Dartford,264986
DE - Derby,All categories: Ethnic group, Christian,DE , Derby,435870
DH - Durham,All categories: Ethnic group, Christian,DH , Durham,218494
DL - Darlington,All categories: Ethnic group, Christian,DL , Darlington,255962
DN - Doncaster,All categories: Ethnic group, Christian,DN , Doncaster,496065
DT - Dorchester,All categories: Ethnic group, Christian,DT , Dorchester,136935
DY - Dudley,All categories: Ethnic group, Christian,DY , Dudley,271209
E - London E,All categories: Ethnic group, Christian,E , London E,390629
EC - London EC,All categories: Ethnic group, Christian,EC , London EC,13622
EN - Enfield,All categories: Ethnic group, Christian,EN , Enfield,204725
EX - Exeter,All categories: Ethnic group, Christian,EX , Exeter,335010
FY - Blackpool,All categories: Ethnic group, Christian,FY , Blackpool,193834
GL - Gloucester,All categories: Ethnic group, Christian,GL , Gloucester,385060
GU - Guildford,All categories: Ethnic group, Christian,GU , Guildford,449131
HA - Harrow,All categories: Ethnic group, Christian,HA , Harrow,190106
HD - Huddersfield,All categories: Ethnic group, Christian,HD , Huddersfield,146460
HG - Harrogate,All categories: Ethnic group, Christian,HG , Harrogate,94379
HP - Hemel Hempstead,All categories: Ethnic group, Christian,HP , Hemel Hempstead,285377
HR - Hereford,All categories: Ethnic group, Christian,HR , Hereford,119537
HU - Hull,All categories: Ethnic group, Christian,HU , Hull,265757
HX - Halifax,All categories: Ethnic group, Christian,HX , Halifax,88506
IG - Ilford,All categories: Ethnic group, Christian,IG , Ilford,134081
IP - Ipswich,All categories: Ethnic group, Christian,IP , Ipswich,364527
KT - Kingston upon Thames,All categories: Ethnic group, Christian,KT , Kingston upon Thames,321975
L - Liverpool,All categories: Ethnic group, Christian,L , Liverpool,643477
LA - Lancaster,All categories: Ethnic group, Christian,LA , Lancaster,223231
LE - Leicester,All categories: Ethnic group, Christian,LE , Leicester,502627
LN - Lincoln,All categories: Ethnic group, Christian,LN , Lincoln,192872
LS - Leeds,All categories: Ethnic group, Christian,LS , Leeds,437182
LU - Luton,All categories: Ethnic group, Christian,LU , Luton,178774
M - Manchester,All categories: Ethnic group, Christian,M , Manchester,680795
ME - Medway,All categories: Ethnic group, Christian,ME , Medway,369182
MK - Milton Keynes,All categories: Ethnic group, Christian,MK , Milton Keynes,290654
N - London N,All categories: Ethnic group, Christian,N , London N,368670
NE - Newcastle upon Tyne,All categories: Ethnic group, Christian,NE , Newcastle upon Tyne,752712
NG - Nottingham,All categories: Ethnic group, Christian,NG , Nottingham,658090
NN - Northampton,All categories: Ethnic group, Christian,NN , Northampton,387967
NR - Norwich,All categories: Ethnic group, Christian,NR , Norwich,429178
NW - London NW,All categories: Ethnic group, Christian,NW , London NW,217760
OL - Oldham,All categories: Ethnic group, Christian,OL , Oldham,267496
OX - Oxford,All categories: Ethnic group, Christian,OX , Oxford,367474
PE - Peterborough,All categories: Ethnic group, Christian,PE , Peterborough,576509
PL - Plymouth,All categories: Ethnic group, Christian,PL , Plymouth,326844
PO - Portsmouth,All categories: Ethnic group, Christian,PO , Portsmouth,489145
PR - Preston,All categories: Ethnic group, Christian,PR , Preston,370514
RG - Reading,All categories: Ethnic group, Christian,RG , Reading,460156
RH - Redhill,All categories: Ethnic group, Christian,RH , Redhill,325708
RM - Romford,All categories: Ethnic group, Christian,RM , Romford,323966
S - Sheffield,All categories: Ethnic group, Christian,S , Sheffield,831709
SE - London SE,All categories: Ethnic group, Christian,SE , London SE,525304
SG - Stevenage,All categories: Ethnic group, Christian,SG , Stevenage,237198
SK - Stockport,All categories: Ethnic group, Christian,SK , Stockport,387471
SL - Slough,All categories: Ethnic group, Christian,SL , Slough,205066
SM - Sutton,All categories: Ethnic group, Christian,SM , Sutton,127247
SN - Swindon,All categories: Ethnic group, Christian,SN , Swindon,281097
SO - Southampton,All categories: Ethnic group, Christian,SO , Southampton,395349
SP - Salisbury,All categories: Ethnic group, Christian,SP , Salisbury,153068
SR - Sunderland,All categories: Ethnic group, Christian,SR , Sunderland,178555
SS - Southend-on-Sea,All categories: Ethnic group, Christian,SS , Southend-on-Sea,310639
ST - Stoke-on-Trent,All categories: Ethnic group, Christian,ST , Stoke-on-Trent,424004
SW - London SW,All categories: Ethnic group, Christian,SW , London SW,476427
SY - Shrewsbury,All categories: Ethnic group, Christian,SY , Shrewsbury,223300
