geography,Ethnic Group,Religion,area code,area name,Counts
RM - Romford,White: English/Welsh/Scottish/Northern Irish/British, Sikh,RM , Romford,63
S - Sheffield,White: English/Welsh/Scottish/Northern Irish/British, Sikh,S , Sheffield,99
SE - London SE,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SE , London SE,120
SG - Stevenage,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SG , Stevenage,30
SK - Stockport,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SK , Stockport,36
SL - Slough,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SL , Slough,100
SM - Sutton,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SM , Sutton,15
SN - Swindon,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SN , Swindon,36
SO - Southampton,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SO , Southampton,101
SP - Salisbury,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SP , Salisbury,13
SR - Sunderland,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SR , Sunderland,12
SS - Southend-on-Sea,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SS , Southend-on-Sea,18
ST - Stoke-on-Trent,White: English/Welsh/Scottish/Northern Irish/British, Sikh,ST , Stoke-on-Trent,33
SW - London SW,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SW , London SW,66
SY - Shrewsbury,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SY , Shrewsbury,23
TA - Taunton,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TA , Taunton,11
TD - Galashiels,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TD , Galashiels,2
TF - Telford,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TF , Telford,34
TN - Tonbridge,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TN , Tonbridge,18
TQ - Torquay,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TQ , Torquay,16
TR - Truro,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TR , Truro,11
TS - Cleveland,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TS , Cleveland,47
TW - Twickenham,White: English/Welsh/Scottish/Northern Irish/British, Sikh,TW , Twickenham,120
UB - Southall,White: English/Welsh/Scottish/Northern Irish/British, Sikh,UB , Southall,219
W - London W,White: English/Welsh/Scottish/Northern Irish/British, Sikh,W , London W,78
WA - Warrington,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WA , Warrington,26
WC - London WC,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WC , London WC,2
WD - Watford,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WD , Watford,18
WF - Wakefield,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WF , Wakefield,27
WN - Wigan,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WN , Wigan,10
WR - Worcester,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WR , Worcester,15
WS - Walsall,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WS , Walsall,54
WV - Wolverhampton,White: English/Welsh/Scottish/Northern Irish/British, Sikh,WV , Wolverhampton,140
YO - York,White: English/Welsh/Scottish/Northern Irish/British, Sikh,YO , York,19
CF - Cardiff,White: English/Welsh/Scottish/Northern Irish/British, Sikh,CF , Cardiff,85
LD - Llandrindod Wells,White: English/Welsh/Scottish/Northern Irish/British, Sikh,LD , Llandrindod Wells,7
LL - Llandudno,White: English/Welsh/Scottish/Northern Irish/British, Sikh,LL , Llandudno,28
NP - Newport,White: English/Welsh/Scottish/Northern Irish/British, Sikh,NP , Newport,20
SA - Swansea,White: English/Welsh/Scottish/Northern Irish/British, Sikh,SA , Swansea,41
AL - St Albans,White: English/Welsh/Scottish/Northern Irish/British, Other religion,AL , St Albans,598
B - Birmingham,White: English/Welsh/Scottish/Northern Irish/British, Other religion,B , Birmingham,3884
BA - Bath,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BA , Bath,2538
BB - Blackburn,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BB , Blackburn,1219
BD - Bradford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BD , Bradford,1386
BH - Bournemouth,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BH , Bournemouth,2654
BL - Bolton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BL , Bolton,814
BN - Brighton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BN , Brighton,4576
BR - Bromley,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BR , Bromley,675
BS - Bristol,White: English/Welsh/Scottish/Northern Irish/British, Other religion,BS , Bristol,3898
CA - Carlisle,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CA , Carlisle,731
CB - Cambridge,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CB , Cambridge,1344
CH - Chester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CH , Chester,1526
CM - Chelmsford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CM , Chelmsford,1922
CO - Colchester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CO , Colchester,1543
CR - Croydon,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CR , Croydon,803
CT - Canterbury,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CT , Canterbury,2065
CV - Coventry,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CV , Coventry,2372
CW - Crewe,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CW , Crewe,799
DA - Dartford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DA , Dartford,1119
DE - Derby,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DE , Derby,2422
DH - Durham,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DH , Durham,860
DL - Darlington,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DL , Darlington,992
DN - Doncaster,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DN , Doncaster,2054
DT - Dorchester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DT , Dorchester,1213
DY - Dudley,White: English/Welsh/Scottish/Northern Irish/British, Other religion,DY , Dudley,1204
E - London E,White: English/Welsh/Scottish/Northern Irish/British, Other religion,E , London E,1430
EC - London EC,White: English/Welsh/Scottish/Northern Irish/British, Other religion,EC , London EC,59
EN - Enfield,White: English/Welsh/Scottish/Northern Irish/British, Other religion,EN , Enfield,700
EX - Exeter,White: English/Welsh/Scottish/Northern Irish/British, Other religion,EX , Exeter,2719
FY - Blackpool,White: English/Welsh/Scottish/Northern Irish/British, Other religion,FY , Blackpool,946
GL - Gloucester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,GL , Gloucester,2649
GU - Guildford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,GU , Guildford,2239
HA - Harrow,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HA , Harrow,479
HD - Huddersfield,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HD , Huddersfield,734
HG - Harrogate,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HG , Harrogate,382
HP - Hemel Hempstead,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HP , Hemel Hempstead,1417
HR - Hereford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HR , Hereford,772
HU - Hull,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HU , Hull,1098
HX - Halifax,White: English/Welsh/Scottish/Northern Irish/British, Other religion,HX , Halifax,496
IG - Ilford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,IG , Ilford,405
IP - Ipswich,White: English/Welsh/Scottish/Northern Irish/British, Other religion,IP , Ipswich,2183
KT - Kingston upon Thames,White: English/Welsh/Scottish/Northern Irish/British, Other religion,KT , Kingston upon Thames,1231
L - Liverpool,White: English/Welsh/Scottish/Northern Irish/British, Other religion,L , Liverpool,1419
LA - Lancaster,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LA , Lancaster,1122
LE - Leicester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LE , Leicester,2732
LN - Lincoln,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LN , Lincoln,1098
LS - Leeds,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LS , Leeds,1909
LU - Luton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LU , Luton,781
M - Manchester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,M , Manchester,2546
ME - Medway,White: English/Welsh/Scottish/Northern Irish/British, Other religion,ME , Medway,2095
MK - Milton Keynes,White: English/Welsh/Scottish/Northern Irish/British, Other religion,MK , Milton Keynes,1561
N - London N,White: English/Welsh/Scottish/Northern Irish/British, Other religion,N , London N,1512
NE - Newcastle upon Tyne,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NE , Newcastle upon Tyne,2882
NG - Nottingham,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NG , Nottingham,3661
NN - Northampton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NN , Northampton,2071
NR - Norwich,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NR , Norwich,3098
NW - London NW,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NW , London NW,847
OL - Oldham,White: English/Welsh/Scottish/Northern Irish/British, Other religion,OL , Oldham,985
OX - Oxford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,OX , Oxford,1956
PE - Peterborough,White: English/Welsh/Scottish/Northern Irish/British, Other religion,PE , Peterborough,2755
PL - Plymouth,White: English/Welsh/Scottish/Northern Irish/British, Other religion,PL , Plymouth,2673
PO - Portsmouth,White: English/Welsh/Scottish/Northern Irish/British, Other religion,PO , Portsmouth,3744
PR - Preston,White: English/Welsh/Scottish/Northern Irish/British, Other religion,PR , Preston,1306
RG - Reading,White: English/Welsh/Scottish/Northern Irish/British, Other religion,RG , Reading,2332
RH - Redhill,White: English/Welsh/Scottish/Northern Irish/British, Other religion,RH , Redhill,1966
RM - Romford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,RM , Romford,1104
S - Sheffield,White: English/Welsh/Scottish/Northern Irish/British, Other religion,S , Sheffield,3627
SE - London SE,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SE , London SE,2230
SG - Stevenage,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SG , Stevenage,1347
SK - Stockport,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SK , Stockport,1559
SL - Slough,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SL , Slough,715
SM - Sutton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SM , Sutton,548
SN - Swindon,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SN , Swindon,2012
SO - Southampton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SO , Southampton,2738
SP - Salisbury,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SP , Salisbury,1083
SR - Sunderland,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SR , Sunderland,421
SS - Southend-on-Sea,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SS , Southend-on-Sea,1877
ST - Stoke-on-Trent,White: English/Welsh/Scottish/Northern Irish/British, Other religion,ST , Stoke-on-Trent,2107
SW - London SW,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SW , London SW,1612
SY - Shrewsbury,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SY , Shrewsbury,1592
TA - Taunton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TA , Taunton,1583
TD - Galashiels,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TD , Galashiels,46
TF - Telford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TF , Telford,640
TN - Tonbridge,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TN , Tonbridge,2842
TQ - Torquay,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TQ , Torquay,1683
TR - Truro,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TR , Truro,1895
TS - Cleveland,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TS , Cleveland,1145
TW - Twickenham,White: English/Welsh/Scottish/Northern Irish/British, Other religion,TW , Twickenham,997
UB - Southall,White: English/Welsh/Scottish/Northern Irish/British, Other religion,UB , Southall,458
W - London W,White: English/Welsh/Scottish/Northern Irish/British, Other religion,W , London W,982
WA - Warrington,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WA , Warrington,1325
WC - London WC,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WC , London WC,86
WD - Watford,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WD , Watford,586
WF - Wakefield,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WF , Wakefield,1280
WN - Wigan,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WN , Wigan,622
WR - Worcester,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WR , Worcester,1038
WS - Walsall,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WS , Walsall,1141
WV - Wolverhampton,White: English/Welsh/Scottish/Northern Irish/British, Other religion,WV , Wolverhampton,923
YO - York,White: English/Welsh/Scottish/Northern Irish/British, Other religion,YO , York,1724
CF - Cardiff,White: English/Welsh/Scottish/Northern Irish/British, Other religion,CF , Cardiff,3355
LD - Llandrindod Wells,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LD , Llandrindod Wells,246
LL - Llandudno,White: English/Welsh/Scottish/Northern Irish/British, Other religion,LL , Llandudno,1842
NP - Newport,White: English/Welsh/Scottish/Northern Irish/British, Other religion,NP , Newport,1638
SA - Swansea,White: English/Welsh/Scottish/Northern Irish/British, Other religion,SA , Swansea,3291
AL - St Albans,White: English/Welsh/Scottish/Northern Irish/British, No religion,AL , St Albans,58789
B - Birmingham,White: English/Welsh/Scottish/Northern Irish/British, No religion,B , Birmingham,327908
BA - Bath,White: English/Welsh/Scottish/Northern Irish/British, No religion,BA , Bath,120755
BB - Blackburn,White: English/Welsh/Scottish/Northern Irish/British, No religion,BB , Blackburn,82644
BD - Bradford,White: English/Welsh/Scottish/Northern Irish/British, No religion,BD , Bradford,111154
BH - Bournemouth,White: English/Welsh/Scottish/Northern Irish/British, No religion,BH , Bournemouth,143170
BL - Bolton,White: English/Welsh/Scottish/Northern Irish/British, No religion,BL , Bolton,62014
BN - Brighton,White: English/Welsh/Scottish/Northern Irish/British, No religion,BN , Brighton,245240
BR - Bromley,White: English/Welsh/Scottish/Northern Irish/British, No religion,BR , Bromley,65442
BS - Bristol,White: English/Welsh/Scottish/Northern Irish/British, No religion,BS , Bristol,286015
CA - Carlisle,White: English/Welsh/Scottish/Northern Irish/British, No religion,CA , Carlisle,58812
CB - Cambridge,White: English/Welsh/Scottish/Northern Irish/British, No religion,CB , Cambridge,114023
CH - Chester,White: English/Welsh/Scottish/Northern Irish/British, No religion,CH , Chester,143319
CM - Chelmsford,White: English/Welsh/Scottish/Northern Irish/British, No religion,CM , Chelmsford,169678
CO - Colchester,White: English/Welsh/Scottish/Northern Irish/British, No religion,CO , Colchester,112741
CR - Croydon,White: English/Welsh/Scottish/Northern Irish/British, No religion,CR , Croydon,61835
CT - Canterbury,White: English/Welsh/Scottish/Northern Irish/British, No religion,CT , Canterbury,124086
CV - Coventry,White: English/Welsh/Scottish/Northern Irish/British, No religion,CV , Coventry,176853
CW - Crewe,White: English/Welsh/Scottish/Northern Irish/British, No religion,CW , Crewe,65070
DA - Dartford,White: English/Welsh/Scottish/Northern Irish/British, No religion,DA , Dartford,95454
DE - Derby,White: English/Welsh/Scottish/Northern Irish/British, No religion,DE , Derby,187377
DH - Durham,White: English/Welsh/Scottish/Northern Irish/British, No religion,DH , Durham,65220
DL - Darlington,White: English/Welsh/Scottish/Northern Irish/British, No religion,DL , Darlington,74473
DN - Doncaster,White: English/Welsh/Scottish/Northern Irish/British, No religion,DN , Doncaster,181862
DT - Dorchester,White: English/Welsh/Scottish/Northern Irish/British, No religion,DT , Dorchester,53369
DY - Dudley,White: English/Welsh/Scottish/Northern Irish/British, No religion,DY , Dudley,84813
E - London E,White: English/Welsh/Scottish/Northern Irish/British, No religion,E , London E,100563
EC - London EC,White: English/Welsh/Scottish/Northern Irish/British, No religion,EC , London EC,5832
EN - Enfield,White: English/Welsh/Scottish/Northern Irish/British, No religion,EN , Enfield,57274
EX - Exeter,White: English/Welsh/Scottish/Northern Irish/British, No religion,EX , Exeter,150262
FY - Blackpool,White: English/Welsh/Scottish/Northern Irish/British, No religion,FY , Blackpool,57680
GL - Gloucester,White: English/Welsh/Scottish/Northern Irish/British, No religion,GL , Gloucester,152538
GU - Guildford,White: English/Welsh/Scottish/Northern Irish/British, No religion,GU , Guildford,168442
HA - Harrow,White: English/Welsh/Scottish/Northern Irish/British, No religion,HA , Harrow,31137
HD - Huddersfield,White: English/Welsh/Scottish/Northern Irish/British, No religion,HD , Huddersfield,65354
HG - Harrogate,White: English/Welsh/Scottish/Northern Irish/British, No religion,HG , Harrogate,29850
HP - Hemel Hempstead,White: English/Welsh/Scottish/Northern Irish/British, No religion,HP , Hemel Hempstead,115372
HR - Hereford,White: English/Welsh/Scottish/Northern Irish/British, No religion,HR , Hereford,38254
HU - Hull,White: English/Welsh/Scottish/Northern Irish/British, No religion,HU , Hull,128523
HX - Halifax,White: English/Welsh/Scottish/Northern Irish/British, No religion,HX , Halifax,42320
IG - Ilford,White: English/Welsh/Scottish/Northern Irish/British, No religion,IG , Ilford,28958
IP - Ipswich,White: English/Welsh/Scottish/Northern Irish/British, No religion,IP , Ipswich,161740
KT - Kingston upon Thames,White: English/Welsh/Scottish/Northern Irish/British, No religion,KT , Kingston upon Thames,108556
L - Liverpool,White: English/Welsh/Scottish/Northern Irish/British, No religion,L , Liverpool,118151
LA - Lancaster,White: English/Welsh/Scottish/Northern Irish/British, No religion,LA , Lancaster,72204
LE - Leicester,White: English/Welsh/Scottish/Northern Irish/British, No religion,LE , Leicester,230803
LN - Lincoln,White: English/Welsh/Scottish/Northern Irish/British, No religion,LN , Lincoln,72310
LS - Leeds,White: English/Welsh/Scottish/Northern Irish/British, No religion,LS , Leeds,195740
LU - Luton,White: English/Welsh/Scottish/Northern Irish/British, No religion,LU , Luton,61306
M - Manchester,White: English/Welsh/Scottish/Northern Irish/British, No religion,M , Manchester,223253
ME - Medway,White: English/Welsh/Scottish/Northern Irish/British, No religion,ME , Medway,163776
MK - Milton Keynes,White: English/Welsh/Scottish/Northern Irish/British, No religion,MK , Milton Keynes,125576
N - London N,White: English/Welsh/Scottish/Northern Irish/British, No religion,N , London N,122128
NE - Newcastle upon Tyne,White: English/Welsh/Scottish/Northern Irish/British, No religion,NE , Newcastle upon Tyne,280082
NG - Nottingham,White: English/Welsh/Scottish/Northern Irish/British, No religion,NG , Nottingham,328380
NN - Northampton,White: English/Welsh/Scottish/Northern Irish/British, No religion,NN , Northampton,179263
NR - Norwich,White: English/Welsh/Scottish/Northern Irish/British, No religion,NR , Norwich,213727
NW - London NW,White: English/Welsh/Scottish/Northern Irish/British, No religion,NW , London NW,51340
OL - Oldham,White: English/Welsh/Scottish/Northern Irish/British, No religion,OL , Oldham,82367
OX - Oxford,White: English/Welsh/Scottish/Northern Irish/British, No religion,OX , Oxford,149778
PE - Peterborough,White: English/Welsh/Scottish/Northern Irish/British, No religion,PE , Peterborough,202915
PL - Plymouth,White: English/Welsh/Scottish/Northern Irish/British, No religion,PL , Plymouth,158385
PO - Portsmouth,White: English/Welsh/Scottish/Northern Irish/British, No religion,PO , Portsmouth,236689
PR - Preston,White: English/Welsh/Scottish/Northern Irish/British, No religion,PR , Preston,86251
RG - Reading,White: English/Welsh/Scottish/Northern Irish/British, No religion,RG , Reading,196075
RH - Redhill,White: English/Welsh/Scottish/Northern Irish/British, No religion,RH , Redhill,130288
RM - Romford,White: English/Welsh/Scottish/Northern Irish/British, No religion,RM , Romford,105868
S - Sheffield,White: English/Welsh/Scottish/Northern Irish/British, No religion,S , Sheffield,339396
SE - London SE,White: English/Welsh/Scottish/Northern Irish/British, No religion,SE , London SE,170813
SG - Stevenage,White: English/Welsh/Scottish/Northern Irish/British, No religion,SG , Stevenage,113406
SK - Stockport,White: English/Welsh/Scottish/Northern Irish/British, No religion,SK , Stockport,143763
SL - Slough,White: English/Welsh/Scottish/Northern Irish/British, No religion,SL , Slough,56188
SM - Sutton,White: English/Welsh/Scottish/Northern Irish/British, No religion,SM , Sutton,43574
SN - Swindon,White: English/Welsh/Scottish/Northern Irish/British, No religion,SN , Swindon,123350
SO - Southampton,White: English/Welsh/Scottish/Northern Irish/British, No religion,SO , Southampton,178470
SP - Salisbury,White: English/Welsh/Scottish/Northern Irish/British, No religion,SP , Salisbury,54601
SR - Sunderland,White: English/Welsh/Scottish/Northern Irish/British, No religion,SR , Sunderland,50123
SS - Southend-on-Sea,White: English/Welsh/Scottish/Northern Irish/British, No religion,SS , Southend-on-Sea,147388
ST - Stoke-on-Trent,White: English/Welsh/Scottish/Northern Irish/British, No religion,ST , Stoke-on-Trent,143532
SW - London SW,White: English/Welsh/Scottish/Northern Irish/British, No religion,SW , London SW,138043
SY - Shrewsbury,White: English/Welsh/Scottish/Northern Irish/British, No religion,SY , Shrewsbury,82954
TA - Taunton,White: English/Welsh/Scottish/Northern Irish/British, No religion,TA , Taunton,82372
TD - Galashiels,White: English/Welsh/Scottish/Northern Irish/British, No religion,TD , Galashiels,4289
TF - Telford,White: English/Welsh/Scottish/Northern Irish/British, No religion,TF , Telford,52126
TN - Tonbridge,White: English/Welsh/Scottish/Northern Irish/British, No religion,TN , Tonbridge,174106
TQ - Torquay,White: English/Welsh/Scottish/Northern Irish/British, No religion,TQ , Torquay,75909
TR - Truro,White: English/Welsh/Scottish/Northern Irish/British, No religion,TR , Truro,88206
TS - Cleveland,White: English/Welsh/Scottish/Northern Irish/British, No religion,TS , Cleveland,127192
TW - Twickenham,White: English/Welsh/Scottish/Northern Irish/British, No religion,TW , Twickenham,82422
UB - Southall,White: English/Welsh/Scottish/Northern Irish/British, No religion,UB , Southall,33387
W - London W,White: English/Welsh/Scottish/Northern Irish/British, No religion,W , London W,67354
WA - Warrington,White: English/Welsh/Scottish/Northern Irish/British, No religion,WA , Warrington,108583
WC - London WC,White: English/Welsh/Scottish/Northern Irish/British, No religion,WC , London WC,4850
WD - Watford,White: English/Welsh/Scottish/Northern Irish/British, No religion,WD , Watford,47500
WF - Wakefield,White: English/Welsh/Scottish/Northern Irish/British, No religion,WF , Wakefield,112081
WN - Wigan,White: English/Welsh/Scottish/Northern Irish/British, No religion,WN , Wigan,45649
WR - Worcester,White: English/Welsh/Scottish/Northern Irish/British, No religion,WR , Worcester,63072
WS - Walsall,White: English/Welsh/Scottish/Northern Irish/British, No religion,WS , Walsall,90279
WV - Wolverhampton,White: English/Welsh/Scottish/Northern Irish/British, No religion,WV , Wolverhampton,66677
YO - York,White: English/Welsh/Scottish/Northern Irish/British, No religion,YO , York,133269
CF - Cardiff,White: English/Welsh/Scottish/Northern Irish/British, No religion,CF , Cardiff,342086
LD - Llandrindod Wells,White: English/Welsh/Scottish/Northern Irish/British, No religion,LD , Llandrindod Wells,13314
LL - Llandudno,White: English/Welsh/Scottish/Northern Irish/British, No religion,LL , Llandudno,140906
NP - Newport,White: English/Welsh/Scottish/Northern Irish/British, No religion,NP , Newport,161779
SA - Swansea,White: English/Welsh/Scottish/Northern Irish/British, No religion,SA , Swansea,219890
AL - St Albans,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,AL , St Albans,14689
B - Birmingham,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,B , Birmingham,81549
BA - Bath,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BA , Bath,32641
BB - Blackburn,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BB , Blackburn,23957
BD - Bradford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BD , Bradford,25933
BH - Bournemouth,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BH , Bournemouth,38827
BL - Bolton,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BL , Bolton,18013
BN - Brighton,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BN , Brighton,58055
BR - Bromley,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BR , Bromley,18257
BS - Bristol,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,BS , Bristol,62579
CA - Carlisle,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CA , Carlisle,20390
CB - Cambridge,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CB , Cambridge,27828
CH - Chester,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CH , Chester,42320
CM - Chelmsford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CM , Chelmsford,41573
CO - Colchester,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CO , Colchester,28371
CR - Croydon,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CR , Croydon,15920
CT - Canterbury,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CT , Canterbury,32730
CV - Coventry,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CV , Coventry,44475
CW - Crewe,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,CW , Crewe,19144
DA - Dartford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DA , Dartford,24181
DE - Derby,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DE , Derby,44238
DH - Durham,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DH , Durham,17069
DL - Darlington,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DL , Darlington,21696
DN - Doncaster,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DN , Doncaster,49282
DT - Dorchester,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DT , Dorchester,16419
DY - Dudley,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,DY , Dudley,23413
E - London E,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,E , London E,30068
EC - London EC,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,EC , London EC,2150
EN - Enfield,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,EN , Enfield,17216
EX - Exeter,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,EX , Exeter,42940
FY - Blackpool,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,FY , Blackpool,16908
GL - Gloucester,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,GL , Gloucester,41247
GU - Guildford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,GU , Guildford,45536
HA - Harrow,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HA , Harrow,12860
HD - Huddersfield,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HD , Huddersfield,15096
HG - Harrogate,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HG , Harrogate,8843
HP - Hemel Hempstead,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HP , Hemel Hempstead,29295
HR - Hereford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HR , Hereford,13447
HU - Hull,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HU , Hull,29782
HX - Halifax,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,HX , Halifax,9898
IG - Ilford,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,IG , Ilford,10643
IP - Ipswich,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,IP , Ipswich,39732
KT - Kingston upon Thames,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,KT , Kingston upon Thames,30812
L - Liverpool,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,L , Liverpool,46585
LA - Lancaster,White: English/Welsh/Scottish/Northern Irish/British, Religion not stated,LA , Lancaster,21967
